people_id;name;popularity;imdb_id;gender
5877;Vincenzo Natali;2.605;nm0622112;2
34849;Ted Demme;5.111;nm0001130;2
7017;Roger Michell;2.523;nm0585011;2
19840;Alejandro Amenábar;4.033;nm0024622;2
5524;Andrew Adamson;6.888;nm0011470;2
12058;Vicky Jenson;4.04;nm0421776;1
13235;Alexander Payne;2.776;nm0668247;2
37630;Shekhar Kapur;2.571;nm0001408;2
13615;Harry Elfont;1.102;nm0253323;2
13614;Deborah Kaplan;2.794;nm0438226;1
21053;John Dahl;3.615;nm0001093;2
7087;Brad Bird;12.889;nm0083348;2
65856;Eric Leighton;2.548;nm0500343;2
65855;Ralph Zondag;2.234;nm0957798;2
1071;Tom Tykwer;4.421;nm0878756;2
59646;Kinka Usher;0.533;nm0882330;2
28239;David Twohy;3.829;nm0878638;2
11676;Mark Pellington;3.744;nm0671210;2
18844;John Madden;3.626;nm0006960;2
29524;Rand Ravich;0.392;nm0712444;2
6431;Darren Aronofsky;10.097;nm0004716;2
65629;Bibo Bergeron;1.449;nm0074426;2
2036264;Don Paul;1.393;nm0666802;2
11873;Roger Kumble;3.007;nm0474955;2
20907;Antoine Fuqua;3.657;nm0298807;2
15361;Josef Rusnak;1.907;nm0750857;2
4759;David Kellogg;0.808;nm0446109;2
10781;Michael Apted;1.852;nm0000776;2
16378;Mary Harron;2.554;nm0366004;1
54795;Troy Duffy;2.087;nm0240627;2
17268;Ronny Yu;6.555;nm0950553;2
11809;Rupert Wainwright;1.03;nm0906548;2
59958;Jamie Blanks;0.618;nm0087595;2
66605;Todd Solondz;2.313;nm0001754;2
40243;Gil Junger;2.53;nm0432627;2
11037;Lukas Moodysson;2.012;nm0600546;2
23945;Gérard Pirès;2.155;nm0000091;2
4453;Thomas Vinterberg;4.677;nm0899121;2
525;Christopher Nolan;35.811;nm0634240;2
40333;Satoshi Kon;13.407;nm0464804;2
34517;Trey Parker;20.979;nm0005295;2
1769;Sofia Coppola;12.317;nm0001068;1
12028;John Moore;2.809;nm0601382;2
36425;McG;6.107;nm0629334;2
64815;Robert Iscove;3.016;nm0410769;2
17447;Terry Zwigoff;1.817;nm0959062;2
3289;Paul Weitz;3.049;nm0919369;2
508;David Koepp;6.261;nm0462895;2
10765;Andrzej Bartkowiak;2.843;nm0005647;2
1205756;Patrick Gilmore;1.027;nm1369708;2
12079;Kelly Asbury;2.425;nm0038432;2
56660;Lorna Cook;1.207;nm0177170;1
11614;M. Night Shyamalan;24.954;nm0796117;2
78751;Ashutosh Gowariker;5.863;nm0332950;2
39;Sam Mendes;6.797;nm0005222;2
77923;Kazuya Tsurumaki;4.196;nm0875453;2
77921;Hideaki Anno;14.14;nm0030417;2
819;Edward Norton;28.923;nm0001570;2
2836;Kimberly Peirce;2.662;nm0005303;3
35736;Karan Johar;6.719;nm0424103;2
21692;Hironobu Sakaguchi;0.573;nm0756983;0
21693;Motonori Sakakibara;0.958;nm1012102;2
35689;Keenen Ivory Wayans;11.475;nm0005540;2
15002;Dean Parisot;1.661;nm0661751;2
26875;Hideo Nakata;4.789;nm0620378;2
27846;John Herzfeld;1.298;nm0381273;2
24294;Ben Younger;2.373;nm0950226;2
21647;Gérard Krawczyk;2.118;nm0470443;2
